sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
0,0.139296293,3.357276678,217.0307514,6.78221098,48.994,-122.735,0.673353738
1,0.136957213,3.300963879,136.9897945,4.280931079,49.022,-122.575,6.875389424
2,0.136000007,3.292999983,2.3328,0.0729,49.049,-122.414,7.901461097
3,0.141891733,3.419603586,935.9686055,29.24901892,48.9,-122.688,2.910129499
4,0.137513548,3.320567369,1746.156488,54.56739023,48.927,-122.529,4.770049306
5,0.134892106,3.263211012,1563.194573,48.84983042,48.954,-122.369,12.37075576
6,0.131025895,3.186919689,609.8705156,19.05845361,48.981,-122.208,20.06438883
7,0.128999993,3.134661436,31.55731326,0.986166039,49.008,-122.048,8.002991784
8,0.142280206,3.432230473,769.2850969,24.04015928,48.806,-122.642,7.744635654
9,0.139538392,3.369852543,1340.460394,41.8893873,48.833,-122.483,0.096213252
10,0.133540526,3.238528013,812.5315031,25.39160947,48.86,-122.323,10.03231407
11,0.129626364,3.137793541,196.3339225,6.135435077,48.887,-122.163,9.536652368
12,0.129318088,3.14131856,38.41747339,1.200546043,48.914,-122.003,0.707990742
13,0.13808316,3.331079721,88.79904229,2.774970071,48.739,-122.437,0.231691689
14,0.13294518,3.212103128,148.2937875,4.634180859,48.766,-122.277,2.776010343
15,0.128315672,3.120198011,124.6104,3.894075,48.793,-122.118,14.04332275
16,0.132220417,3.187782764,155.6029459,4.862592059,48.645,-122.391,3.554090223
17,0.129886925,3.150657415,175.4138848,5.481683899,48.672,-122.232,0.494123557
18,0.137867913,3.344937801,688.0896211,21.50280066,48.524,-122.505,14.04722423
19,0.132497683,3.216962576,1412.631394,44.14473105,48.551,-122.346,30.50329369
20,0.128312364,3.116261959,334.3398082,10.44811901,48.578,-122.187,5.723179751
21,0.130795047,3.169901609,5.954112048,0.186066002,48.604,-122.028,5.67946794
22,0.127619416,3.110484838,37.07884951,1.158714047,48.657,-121.709,0.877056081
23,0.157999977,3.761999607,18.17049902,0.567828094,49.009,-119.462,5.770437764
24,0.127598584,3.096090794,147.7272938,4.61647793,48.096,-124.35,72.21867612
25,0.130935967,3.157217503,40.57488149,1.267965047,48.124,-124.193,36.23967011
26,0.13861905,3.337333441,60.33082104,1.885338158,48.153,-124.036,3.405534412
27,0.140634596,3.407882452,85.79550059,2.681109393,48.181,-123.879,49.12911162
28,0.142000005,3.447000027,0.0576,0.0018,48.21,-123.722,6.441565102
29,0.143368319,3.452439785,157.0605188,4.908141211,48.403,-122.618,5.038837944
30,0.137318164,3.337346792,2125.654903,66.42671572,48.43,-122.459,12.46592271
