sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
0,0.139198974,3.355339527,414.2010305,12.9437822,48.994,-122.735,0.673353738
1,0.137287393,3.305003166,310.6114594,9.706608105,49.022,-122.575,6.875389424
2,0.136000007,3.292999983,2.3328,0.0729,49.049,-122.414,7.901461097
3,0.141971231,3.421173811,1483.518544,46.35995449,48.9,-122.688,2.910129499
4,0.137588575,3.322365284,1928.898436,60.27807612,48.927,-122.529,4.770049306
5,0.134740129,3.259681463,1869.773119,58.43040996,48.954,-122.369,12.37075576
6,0.130902454,3.181746721,870.0177094,27.18805342,48.981,-122.208,20.06438883
7,0.129529014,3.140934467,107.4352359,3.357351123,49.008,-122.048,8.002991784
8,0.142343417,3.432207823,1206.650925,37.70784141,48.806,-122.642,7.744635654
9,0.13940002,3.367403269,1852.916513,57.90364102,48.833,-122.483,0.096213252
10,0.133406073,3.235621691,1618.57845,50.58057656,48.86,-122.323,14.33441531
11,0.130257472,3.145449162,482.8262555,15.08832048,48.887,-122.163,20.68573864
12,0.129459471,3.142401457,111.8482567,3.495258023,48.914,-122.003,0.707990742
13,0.13994737,3.391736984,153.2059154,4.787684857,48.712,-122.596,5.131527559
14,0.13753885,3.311424971,340.6711605,10.64597377,48.739,-122.437,1.942629658
15,0.13218838,3.196499109,578.3901187,18.07469121,48.766,-122.277,2.746456449
16,0.128850982,3.126254559,501.4667602,15.67083625,48.793,-122.118,92.27882841
17,0.133477479,3.212141514,561.2962078,17.54050649,48.645,-122.391,9.521194032
18,0.13000074,3.149497747,427.8378234,13.36993198,48.672,-122.232,12.57653265
19,0.130006775,3.155478239,139.823434,4.369482312,48.699,-122.073,7.042098453
20,0.125988632,3.063580751,327.9343852,10.24794954,48.16,-124.555,102.4525548
21,0.127504647,3.08931613,415.7194008,12.99123127,48.189,-124.398,94.44272597
22,0.135862365,3.274777412,647.4902695,20.23407092,48.218,-124.241,102.3790653
23,0.136066616,3.30082202,91.99094063,2.874716895,48.246,-124.084,10.59662113
24,0.137840003,3.344157696,793.680525,24.80251641,48.524,-122.505,14.04722423
25,0.132266358,3.210127592,2232.974588,69.78045586,48.551,-122.346,73.00758469
